thscode,count,mean,std,min,25%,50%,75%,max,annual_volatility,skew,kurtosis
600519.SH,723.0,-0.0003,0.0148,-0.0742,-0.0075,-0.0013,0.0048,0.0929,0.2342,1.2903,8.2592
000300.SH,723.0,0.0003,0.0115,-0.0705,-0.0054,0.0004,0.0059,0.0848,0.182,0.2575,9.3232
