open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1598.1964609776,1601.6911120362,1587.4160464011,1592.7433679377,1843486,600519.SH,2023-11-15,贵州茅台,NA,CNY
1593.7046215707,1595.5013573335,1581.1723896255,1581.1723896255,1255757,600519.SH,2023-11-16,贵州茅台,NA,CNY
1573.9405281803,1580.22910335,1561.2735410529,1575.2162105719,2171363,600519.SH,2023-11-17,贵州茅台,NA,CNY
1576.6356318245,1589.6619661045,1560.1595648799,1583.3733909348,1860804,600519.SH,2023-11-20,贵州茅台,NA,CNY
1602.1672470133,1615.2654507239,1590.2009868333,1608.0785076728,3009845,600519.SH,2023-11-21,贵州茅台,NA,CNY
1602.0594428676,1611.9864079568,1599.579947515,1600.4513643599,1266457,600519.SH,2023-11-22,贵州茅台,NA,CNY
1597.5676034607,1606.2817719101,1591.0095179266,1604.4850361473,1154964,600519.SH,2023-11-23,贵州茅台,NA,CNY
1607.1801397915,1607.1801397915,1594.6029894521,1596.3997252149,1308540,600519.SH,2023-11-24,贵州茅台,NA,CNY
1593.0757640538,1593.0757640538,1576.6356318245,1583.8225748755,1626074,600519.SH,2023-11-27,贵州茅台,NA,CNY
1582.0258391128,1593.596817425,1579.3307354686,1589.2487168791,1451976,600519.SH,2023-11-28,贵州茅台,NA,CNY
1588.3144142824,1595.5013573335,1579.3307354686,1594.3424627665,1714933,600519.SH,2023-11-29,贵州茅台,NA,CNY
1596.1481822081,1612.3547387882,1591.0813873571,1609.4260594949,2135342,600519.SH,2023-11-30,贵州茅台,NA,CNY
1607.4586338347,1607.8089973084,1570.3470566548,1581.3790142382,3305131,600519.SH,2023-12-01,贵州茅台,NA,CNY
1581.3790142382,1582.7714844543,1567.9034960175,1572.7816336134,1844047,600519.SH,2023-12-04,贵州茅台,NA,CNY
1571.0477836023,1571.1376203904,1534.4303087572,1535.3107092809,2990301,600519.SH,2023-12-05,贵州茅台,NA,CNY
1529.5881058765,1544.716620999,1528.2405540545,1529.9205019926,2385129,600519.SH,2023-12-06,贵州茅台,NA,CNY
1530.818869874,1535.3825787114,1515.816126255,1527.2253983485,2504150,600519.SH,2023-12-07,贵州茅台,NA,CNY
1527.2253983485,1535.1669704199,1520.2360962314,1531.6453683249,2628801,600519.SH,2023-12-08,贵州茅台,NA,CNY
1518.2417195347,1530.818869874,1488.5955794491,1525.4286625857,3683098,600519.SH,2023-12-11,贵州茅台,NA,CNY
1516.0856366194,1536.2000934835,1512.8515122464,1536.2000934835,2101066,600519.SH,2023-12-12,贵州茅台,NA,CNY
1531.9148786893,1532.36406263,1488.6674488796,1491.2906830932,3878870,600519.SH,2023-12-13,贵州茅台,NA,CNY
1496.6449556663,1500.1575740825,1468.8494534163,1469.6400171519,4067215,600519.SH,2023-12-14,贵州茅台,NA,CNY
1480.7168931294,1507.2546803454,1476.92578067,1477.8151648725,3709251,600519.SH,2023-12-15,贵州茅台,NA,CNY
1473.3233254656,1494.2822481382,1468.8314860587,1493.087418856,1989734,600519.SH,2023-12-18,贵州茅台,NA,CNY
1495.7825225002,1509.1412528963,1477.8960179818,1504.766201314,2220676,600519.SH,2023-12-19,贵州茅台,NA,CNY
1506.6799938755,1508.4974606957,1493.0489927247,1499.219292579,2309203,600519.SH,2023-12-20,贵州茅台,NA,CNY
1490.3318798286,1519.6930563076,1490.3318798286,1517.5847947962,2901168,600519.SH,2023-12-21,贵州茅台,NA,CNY
1517.3121747732,1525.8542688278,1506.6890812096,1518.1754715128,2166684,600519.SH,2023-12-22,贵州茅台,NA,CNY
1518.4935282063,1525.3999021227,1515.7673279761,1519.4022616164,1247106,600519.SH,2023-12-25,贵州茅台,NA,CNY
